Complaints,Product
Communication tactics,Debt collection
Cont'd attempts collect debt not owed,Debt collection
"Application, originator, mortgage broker",Mortgage
Other,Credit card
Cont'd attempts collect debt not owed,Debt collection
Communication tactics,Debt collection
Managing the loan or lease,Consumer loan
Communication tactics,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Taking/threatening an illegal action,Debt collection
False statements or representation,Debt collection
Deposits and withdrawals,Bank account or service
Cont'd attempts collect debt not owed,Debt collection
Can't contact lender,Payday loan
Disclosure verification of debt,Debt collection
Disclosure verification of debt,Debt collection
False statements or representation,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Communication tactics,Debt collection
Disclosure verification of debt,Debt collection
"Loan modification,collection,foreclosure",Mortgage
Improper contact or sharing of info,Debt collection
Improper contact or sharing of info,Debt collection
Communication tactics,Debt collection
Problems when you are unable to pay,Consumer loan
"Account opening, closing, or management",Bank account or service
Incorrect information on credit report,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
"Account opening, closing, or management",Bank account or service
"Loan servicing, payments, escrow account",Mortgage
Cont'd attempts collect debt not owed,Debt collection
False statements or representation,Debt collection
Disclosure verification of debt,Debt collection
"Loan modification,collection,foreclosure",Mortgage
False statements or representation,Debt collection
Incorrect information on credit report,Credit reporting
Incorrect information on credit report,Credit reporting
Problems when you are unable to pay,Consumer loan
Taking/threatening an illegal action,Debt collection
Other transaction issues,Money transfers
Credit reporting company's investigation,Credit reporting
"Loan servicing, payments, escrow account",Mortgage
Delinquent account,Credit card
Problems when you are unable to pay,Consumer loan
Cont'd attempts collect debt not owed,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Other,Credit card
Disclosure verification of debt,Debt collection
Late fee,Credit card
Taking out the loan or lease,Consumer loan
Incorrect information on credit report,Credit reporting
Taking out the loan or lease,Consumer loan
Cont'd attempts collect debt not owed,Debt collection
Problems when you are unable to pay,Consumer loan
"Account opening, closing, or management",Bank account or service
Communication tactics,Debt collection
Improper contact or sharing of info,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Incorrect information on credit report,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
Disclosure verification of debt,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Improper contact or sharing of info,Debt collection
Credit decision / Underwriting,Mortgage
Managing the line of credit,Consumer loan
Can't stop charges to bank account,Payday loan
Cont'd attempts collect debt not owed,Debt collection
Charged fees or interest I didn't expect,Payday loan
Can't contact lender,Payday loan
"Account opening, closing, or management",Bank account or service
Improper use of my credit report,Credit reporting
"Loan modification,collection,foreclosure",Mortgage
Cont'd attempts collect debt not owed,Debt collection
Communication tactics,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Incorrect information on credit report,Credit reporting
Communication tactics,Debt collection
Using a debit or ATM card,Bank account or service
Cont'd attempts collect debt not owed,Debt collection
"Loan modification,collection,foreclosure",Mortgage
Delinquent account,Credit card
Problems when you are unable to pay,Consumer loan
Incorrect information on credit report,Credit reporting
"Loan modification,collection,foreclosure",Mortgage
Problems when you are unable to pay,Consumer loan
Cont'd attempts collect debt not owed,Debt collection
Problems when you are unable to pay,Consumer loan
Incorrect information on credit report,Credit reporting
Improper contact or sharing of info,Debt collection
Billing statement,Credit card
Problems caused by my funds being low,Bank account or service
Other,Credit card
"Loan modification,collection,foreclosure",Mortgage
Cont'd attempts collect debt not owed,Debt collection
"Loan servicing, payments, escrow account",Mortgage
Managing the loan or lease,Consumer loan
Managing the loan or lease,Consumer loan
Cont'd attempts collect debt not owed,Debt collection
Communication tactics,Debt collection
Improper contact or sharing of info,Debt collection
Disclosure verification of debt,Debt collection
Can't repay my loan,Student loan
Taking out the loan or lease,Consumer loan
Cont'd attempts collect debt not owed,Debt collection
Incorrect information on credit report,Credit reporting
Problems when you are unable to pay,Consumer loan
Cont'd attempts collect debt not owed,Debt collection
"Loan modification,collection,foreclosure",Mortgage
"Loan modification,collection,foreclosure",Mortgage
Improper contact or sharing of info,Debt collection
Incorrect information on credit report,Credit reporting
"Making/receiving payments, sending money",Bank account or service
Charged bank acct wrong day or amt,Payday loan
Credit decision / Underwriting,Mortgage
Incorrect information on credit report,Credit reporting
Managing the loan or lease,Consumer loan
Managing the loan or lease,Consumer loan
"Loan servicing, payments, escrow account",Mortgage
Received a loan I didn't apply for,Payday loan
Cont'd attempts collect debt not owed,Debt collection
Managing the loan or lease,Consumer loan
Incorrect information on credit report,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
"Loan servicing, payments, escrow account",Mortgage
Cont'd attempts collect debt not owed,Debt collection
Credit reporting company's investigation,Credit reporting
"Account opening, closing, or management",Bank account or service
Can't repay my loan,Student loan
Cont'd attempts collect debt not owed,Debt collection
Other service issues,Money transfers
"Account opening, closing, or management",Bank account or service
Disclosure verification of debt,Debt collection
Money was not available when promised,Money transfers
Deposits and withdrawals,Bank account or service
Charged fees or interest I didn't expect,Payday loan
Deposits and withdrawals,Bank account or service
Incorrect information on credit report,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
Cont'd attempts collect debt not owed,Debt collection
"Loan modification,collection,foreclosure",Mortgage
Improper contact or sharing of info,Debt collection
Incorrect information on credit report,Credit reporting
Incorrect information on credit report,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Incorrect information on credit report,Credit reporting
Taking/threatening an illegal action,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Incorrect information on credit report,Credit reporting
Incorrect information on credit report,Credit reporting
"Loan modification,collection,foreclosure",Mortgage
Unable to get credit report/credit score,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
"Making/receiving payments, sending money",Bank account or service
Cont'd attempts collect debt not owed,Debt collection
Improper contact or sharing of info,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Incorrect information on credit report,Credit reporting
Shopping for a loan or lease,Consumer loan
Disclosure verification of debt,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Incorrect information on credit report,Credit reporting
Incorrect information on credit report,Credit reporting
Delinquent account,Credit card
Cont'd attempts collect debt not owed,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Disclosure verification of debt,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Fraud or scam,Money transfers
Incorrect information on credit report,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
"Account opening, closing, or management",Bank account or service
Cont'd attempts collect debt not owed,Debt collection
Unable to get credit report/credit score,Credit reporting
Incorrect information on credit report,Credit reporting
"Loan servicing, payments, escrow account",Mortgage
Incorrect information on credit report,Credit reporting
Credit reporting company's investigation,Credit reporting
Payment to acct not credited,Payday loan
Incorrect information on credit report,Credit reporting
Unable to get credit report/credit score,Credit reporting
Charged fees or interest I didn't expect,Payday loan
Incorrect information on credit report,Credit reporting
"Loan servicing, payments, escrow account",Mortgage
Managing the loan or lease,Consumer loan
Communication tactics,Debt collection
Unable to get credit report/credit score,Credit reporting
Incorrect information on credit report,Credit reporting
Incorrect information on credit report,Credit reporting
Improper contact or sharing of info,Debt collection
Managing the loan or lease,Consumer loan
Incorrect information on credit report,Credit reporting
False statements or representation,Debt collection
Other,Credit card
Disclosure verification of debt,Debt collection
"Loan modification,collection,foreclosure",Mortgage
Cont'd attempts collect debt not owed,Debt collection
"Loan servicing, payments, escrow account",Mortgage
Incorrect information on credit report,Credit reporting
"Loan servicing, payments, escrow account",Mortgage
"Account opening, closing, or management",Bank account or service
Unable to get credit report/credit score,Credit reporting
Other,Credit card
Incorrect information on credit report,Credit reporting
Improper use of my credit report,Credit reporting
Credit reporting company's investigation,Credit reporting
Disclosure verification of debt,Debt collection
Disclosure verification of debt,Debt collection
Incorrect information on credit report,Credit reporting
Credit reporting company's investigation,Credit reporting
"Loan servicing, payments, escrow account",Mortgage
Cont'd attempts collect debt not owed,Debt collection
Managing the loan or lease,Consumer loan
Cont'd attempts collect debt not owed,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Incorrect information on credit report,Credit reporting
Communication tactics,Debt collection
"Loan servicing, payments, escrow account",Mortgage
"Loan servicing, payments, escrow account",Mortgage
Other transaction issues,Money transfers
Disclosure verification of debt,Debt collection
Taking out the loan or lease,Consumer loan
Unable to get credit report/credit score,Credit reporting
"Loan modification,collection,foreclosure",Mortgage
Communication tactics,Debt collection
Unable to get credit report/credit score,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
Incorrect information on credit report,Credit reporting
Incorrect information on credit report,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
Disclosure verification of debt,Debt collection
Incorrect information on credit report,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
False statements or representation,Debt collection
Incorrect information on credit report,Credit reporting
Credit reporting company's investigation,Credit reporting
Incorrect information on credit report,Credit reporting
Credit monitoring or identity protection,Credit reporting
Incorrect information on credit report,Credit reporting
"Account opening, closing, or management",Bank account or service
Incorrect information on credit report,Credit reporting
False statements or representation,Debt collection
Incorrect information on credit report,Credit reporting
Credit reporting company's investigation,Credit reporting
"Loan servicing, payments, escrow account",Mortgage
"Account opening, closing, or management",Bank account or service
Credit reporting company's investigation,Credit reporting
Managing the loan or lease,Consumer loan
Disclosure verification of debt,Debt collection
"Loan servicing, payments, escrow account",Mortgage
Other transaction issues,Money transfers
Credit reporting company's investigation,Credit reporting
Problems when you are unable to pay,Consumer loan
Incorrect information on credit report,Credit reporting
Communication tactics,Debt collection
Unable to get credit report/credit score,Credit reporting
"Account opening, closing, or management",Bank account or service
Incorrect information on credit report,Credit reporting
Credit monitoring or identity protection,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
"Loan servicing, payments, escrow account",Mortgage
Unable to get credit report/credit score,Credit reporting
Problems when you are unable to pay,Consumer loan
Cont'd attempts collect debt not owed,Debt collection
Communication tactics,Debt collection
Taking/threatening an illegal action,Debt collection
Improper contact or sharing of info,Debt collection
Using a debit or ATM card,Bank account or service
Incorrect information on credit report,Credit reporting
Incorrect information on credit report,Credit reporting
Incorrect information on credit report,Credit reporting
Deposits and withdrawals,Bank account or service
Getting a loan,Student loan
Unable to get credit report/credit score,Credit reporting
Other,Credit card
"Loan servicing, payments, escrow account",Mortgage
Problems caused by my funds being low,Bank account or service
Credit reporting company's investigation,Credit reporting
Incorrect information on credit report,Credit reporting
"Account opening, closing, or management",Bank account or service
Credit reporting company's investigation,Credit reporting
"Loan modification,collection,foreclosure",Mortgage
Incorrect information on credit report,Credit reporting
Communication tactics,Debt collection
Unable to get credit report/credit score,Credit reporting
"Loan modification,collection,foreclosure",Mortgage
Cash advance fee,Credit card
Disclosure verification of debt,Debt collection
Disclosure verification of debt,Debt collection
Incorrect information on credit report,Credit reporting
Incorrect information on credit report,Credit reporting
"Account opening, closing, or management",Bank account or service
Unable to get credit report/credit score,Credit reporting
"Account opening, closing, or management",Bank account or service
Can't contact lender,Payday loan
Incorrect information on credit report,Credit reporting
Communication tactics,Debt collection
Fraud or scam,Money transfers
Incorrect information on credit report,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
Incorrect information on credit report,Credit reporting
Incorrect information on credit report,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
APR or interest rate,Credit card
Cont'd attempts collect debt not owed,Debt collection
Improper contact or sharing of info,Debt collection
"Loan modification,collection,foreclosure",Mortgage
Credit reporting company's investigation,Credit reporting
Credit reporting company's investigation,Credit reporting
Charged fees or interest I didn't expect,Payday loan
Incorrect information on credit report,Credit reporting
Taking/threatening an illegal action,Debt collection
Incorrect information on credit report,Credit reporting
"Account opening, closing, or management",Bank account or service
Unable to get credit report/credit score,Credit reporting
Incorrect information on credit report,Credit reporting
Late fee,Credit card
"Loan modification,collection,foreclosure",Mortgage
Improper contact or sharing of info,Debt collection
Credit reporting company's investigation,Credit reporting
Incorrect information on credit report,Credit reporting
"Application, originator, mortgage broker",Mortgage
Incorrect information on credit report,Credit reporting
Communication tactics,Debt collection
Unable to get credit report/credit score,Credit reporting
"Loan servicing, payments, escrow account",Mortgage
Incorrect information on credit report,Credit reporting
Credit reporting company's investigation,Credit reporting
Communication tactics,Debt collection
Communication tactics,Debt collection
Communication tactics,Debt collection
Disclosure verification of debt,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Credit reporting company's investigation,Credit reporting
Incorrect information on credit report,Credit reporting
Unable to get credit report/credit score,Credit reporting
Incorrect information on credit report,Credit reporting
Billing statement,Credit card
Taking out the loan or lease,Consumer loan
Unable to get credit report/credit score,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
"Loan servicing, payments, escrow account",Mortgage
Taking/threatening an illegal action,Debt collection
"Loan modification,collection,foreclosure",Mortgage
Settlement process and costs,Mortgage
Credit reporting company's investigation,Credit reporting
Communication tactics,Debt collection
Incorrect information on credit report,Credit reporting
Incorrect information on credit report,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
Disclosure verification of debt,Debt collection
Delinquent account,Credit card
"Making/receiving payments, sending money",Bank account or service
False statements or representation,Debt collection
Cont'd attempts collect debt not owed,Debt collection
Incorrect information on credit report,Credit reporting
Incorrect information on credit report,Credit reporting
Unable to get credit report/credit score,Credit reporting
Other,Mortgage
Credit reporting company's investigation,Credit reporting
Cont'd attempts collect debt not owed,Debt collection
"Loan modification,collection,foreclosure",Mortgage
Closing/Cancelling account,Credit card
"Account opening, closing, or management",Bank account or service
"Loan servicing, payments, escrow account",Mortgage
Managing the loan or lease,Consumer loan
